state,date,crop_type,planted_area,production,temperature,humidity
Negeri Sembilan,1/1/22,flowers,1791.5,21022.5,"	28 ",78%
Pahang,1/1/17,cash_crops,1497.4,11895.9,"	26 ",93%
Pahang,1/1/18,cash_crops,1185,8956.2,25 ,93%
Pahang,1/1/19,cash_crops,943.1,6446.5,"	26 ",88%
Pahang,1/1/20,cash_crops,1013.2,6452.1,"	27 ",83%
Pahang,1/1/21,cash_crops,1084.7,7743.5,25 ,86%
Pahang,1/1/22,cash_crops,943.4,8412.1,26 ,81%
Pahang,1/1/17,coconut,4633.2,35196.6,"	26 ",93%
Pahang,1/1/18,coconut,4321.8,27059,25 ,93%
Pahang,1/1/19,coconut,4205.5,24263.2,"	26 ",88%
Pahang,1/1/20,coconut,3997.2,26915.8,"	27 ",83%
Pahang,1/1/21,coconut,3433,28180.5,25 ,86%
Pahang,1/1/22,coconut,2899.7,27270,26 ,81%
Pahang,1/1/17,vegetables,421.2,142585087,"	26 ",93%
Pahang,1/1/18,vegetables,428.8,145151619,25 ,93%
Pahang,1/1/19,vegetables,436.9,147909499,"	26 ",88%
Pahang,1/1/20,vegetables,424.7,112707039,"	27 ",83%
Pahang,1/1/21,vegetables,384.9,95169823,25 ,86%
Pahang,1/1/22,vegetables,393,97549069,26 ,81%
Pahang,1/1/17,fruits,33209.9,195934.8,"	26 ",93%
Pahang,1/1/18,fruits,26323.1,208730.9,25 ,93%
Pahang,1/1/19,fruits,22760.7,200044.8,"	26 ",88%
Pahang,1/1/20,fruits,24836.8,201494.6,"	27 ",83%
Pahang,1/1/21,fruits,25679.1,244209,25 ,86%
Pahang,1/1/22,fruits,27331.1,271797.9,26 ,81%
Pahang,1/1/17,herbs,363.6,2260.8,"	26 ",93%
Pahang,1/1/18,herbs,404.2,2438.8,25 ,93%
Pahang,1/1/19,herbs,218,757.4,"	26 ",88%
Pahang,1/1/20,herbs,162.4,634.9,"	27 ",83%
Pahang,1/1/21,herbs,220.5,396.8,25 ,86%
Pahang,1/1/22,herbs,164.3,923.1,26 ,81%
Pahang,1/1/17,industrial_crops,6871.1,45421.8,"	26 ",93%
Pahang,1/1/18,industrial_crops,6234.6,37202,25 ,93%
Pahang,1/1/19,industrial_crops,5349,29858.7,"	26 ",88%
Pahang,1/1/20,industrial_crops,5795.5,35934.5,"	27 ",83%
Pahang,1/1/21,industrial_crops,5427.3,34941.4,25 ,86%
Pahang,1/1/22,industrial_crops,4885.8,43331.6,26 ,81%
Pahang,1/1/17,paddy,13006,28434,"	26 ",93%
Pahang,1/1/18,paddy,12300,34657,25 ,93%
Pahang,1/1/19,paddy,12435,31234,"	26 ",88%
Pahang,1/1/20,paddy,10572,35524,"	27 ",83%
Pahang,1/1/21,paddy,13639,50866,25 ,86%
Pahang,1/1/22,paddy,13757,51185,26 ,81%
Pahang,1/1/17,spices,2115.8,18341.5,"	26 ",93%
Pahang,1/1/18,spices,2105.6,18109.9,25 ,93%
Pahang,1/1/19,spices,1569.8,13226.8,"	26 ",88%
Pahang,1/1/20,spices,1385.3,12147.3,"	27 ",83%
Pahang,1/1/21,spices,1044.8,8619.4,25 ,86%
Pahang,1/1/22,spices,1081.2,10571.9,26 ,81%
Pahang,1/1/17,flowers,17173.1,355743.9,"	26 ",93%
Pahang,1/1/18,flowers,15840.6,368063,25 ,93%
Pahang,1/1/19,flowers,15181,335935,"	26 ",88%
Pahang,1/1/20,flowers,15967.3,361971.3,"	27 ",83%
Pahang,1/1/21,flowers,18159.1,381530.1,25 ,86%
Pahang,1/1/22,flowers,21391.2,455641.4,26 ,81%
Perak,1/1/17,cash_crops,4119.9,68209.1,27 ,86%
Perak,1/1/18,cash_crops,5262.3,85883.3,26 ,"	89%"
Perak,1/1/19,cash_crops,5187.2,92392.5,28 ,83%
Perak,1/1/20,cash_crops,5072.2,89080.8,28 ,82%
Perak,1/1/21,cash_crops,5607.9,97159.7,27 ,"	87%"
Perak,1/1/22,cash_crops,4620,79518.2,27 ,"	83%"
Perak,1/1/17,coconut,9337,82466.3,27 ,86%
Perak,1/1/18,coconut,7835.3,65900.6,26 ,"	89%"
Perak,1/1/19,coconut,7594.1,78644.3,28 ,83%
Perak,1/1/20,coconut,7522.8,71588.6,28 ,82%
Perak,1/1/21,coconut,7568.2,81288.4,27 ,"	87%"
Perak,1/1/22,coconut,7727.7,88291.6,27 ,"	83%"
Perak,1/1/17,vegetables,148.7,35271364,27 ,86%
Perak,1/1/18,vegetables,151.4,35906248,26 ,"	89%"
Perak,1/1/19,vegetables,154.3,36588467,28 ,83%
Perak,1/1/20,vegetables,150,27880412,28 ,82%
Perak,1/1/21,vegetables,147.4,24403724,27 ,"	87%"
Perak,1/1/22,vegetables,149.5,24842991,27 ,"	83%"
Perak,1/1/17,fruits,10914,106278.7,27 ,86%
Perak,1/1/18,fruits,11406.1,107891.4,26 ,"	89%"
Perak,1/1/19,fruits,11441.9,116374.2,28 ,83%
Perak,1/1/20,fruits,10310.8,97985.2,28 ,82%
Perak,1/1/21,fruits,11439.3,121457.8,27 ,"	87%"
Perak,1/1/22,fruits,11588.7,101488.2,27 ,"	83%"
Perak,1/1/17,herbs,377.6,1040.2,27 ,86%
Perak,1/1/18,herbs,594.5,1503.9,26 ,"	89%"
Perak,1/1/19,herbs,560.1,1027.6,28 ,83%
Perak,1/1/20,herbs,498.4,1016.4,28 ,82%
Perak,1/1/21,herbs,422.8,1305.6,27 ,"	87%"
Perak,1/1/22,herbs,457.9,1096.7,27 ,"	83%"
Perak,1/1/17,industrial_crops,9355.9,82842.1,27 ,86%
Perak,1/1/18,industrial_crops,7886.1,66301.4,26 ,"	89%"
Perak,1/1/19,industrial_crops,7674.7,79052.6,28 ,83%
Perak,1/1/20,industrial_crops,7589.9,71997.8,28 ,82%
Perak,1/1/21,industrial_crops,7640.9,81798.8,27 ,"	87%"
Perak,1/1/22,industrial_crops,7786.7,88839.5,27 ,"	83%"
Perak,1/1/17,paddy,81284,293715,27 ,86%
Perak,1/1/18,paddy,81699,292063,26 ,"	89%"
Perak,1/1/19,paddy,81380,257605,28 ,83%
Perak,1/1/20,paddy,76201,232437,28 ,82%
Perak,1/1/21,paddy,74949,244397,27 ,"	87%"
Perak,1/1/22,paddy,74594,269790,27 ,"	83%"
